Configuration,Retrieval_Time_ms,Generation_Time_ms,Total_Time_ms,Input_Tokens,CO2_Emissions_kg
Baseline,8.96766185760498,498.1135845184326,507.0812463760376,2704.7,5.290019234711786e-06
Optimized,19.78003978729248,483.10186862945557,502.88190841674805,1638.7,4.724609120464361e-06
