Model,Avg_Emissions_kg,Avg_Latency_s
Baseline,4.633565172445839e-05,4.856310824630782
Quantized,3.13060811922116e-05,3.4765265389345585
Pruned,0.00013805563764062,14.487256188457831
Distilled,3.5093577615042904e-05,3.938758083758876
